2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:97 - INFO - 创建集合: test_xzk_1755620759
2025-08-20 00:26:05 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:111 - INFO - 检测到嵌入模型维度: 1024
2025-08-20 00:26:05 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:141 - INFO - 集合 test_xzk_1755620759 创建成功
2025-08-20 00:26:05 - SpawnProcess-1 | MainThread | milvus_client.add_documents:163 - INFO - 开始添加 4 个文档到向量存储
2025-08-20 00:26:06 - SpawnProcess-1 | MainThread | milvus_client.add_documents:172 - ERROR - 添加文档失败: <SchemaNotReadyException: (code=1, message=The parameter consistency_level is inconsistent with that of existed collection.)>
2025-08-20 00:26:06 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: xzk.pdf, 错误: 文档存储到Milvus失败
2025-08-20 00:26:45 - SpawnProcess-2 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:27:02 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:27:21 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: xzk.pdf, 任务ID: fb6f72bc-2146-47fa-86c8-1c79feeda457
2025-08-20 00:27:21 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:27:21 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmpz0_0wtek.pdf
